"characterCount","wordCount","syllableCount","sentenceCount","sectionCount","subsectionCount","paragraphCount","meanSectionSize","meanParagraphSize","largestSectionSize","shortestSectionSize","largestShortestSectionRatio","sectionSizeStandardDeviation","meanOfSubsectionsPerSection","abstractSize","abstractSizeArtcileLengthRatio","citationCount","citationCountPerSentence","citationCountPerSection","externalLinksCount","externalLinksPerSentence","externalLinksPerSection","imageCount","imagePerSentence","imagePerSection","meanSentenceSize","largestSentenceSize","shortestSentenceSize","largeSentenceRate","shortSentenceRate","questionCount","questionRatio","exclamationCount","exclamationRatio","toBeVerbCount","toBeVerbRatio","toBeVerbPerSentence","toBeVerbRate","modalAuxiliaryVerbCount","modalAuxiliaryVerbsRatio","modalAuxiliaryVerbsPerSentence","modalAuxiliaryVerbsRate","passiveVoiceCount","passiveVoiceRatio","passiveVoicePerSentence","passiveVoiceRate","numberOfSentencesThatStartWithACoordinatingConjunction","numberOfSentencesThatStartWithADeterminer","numberOfSentencesThatStartWithASubordinatingPrepositionOrConjunction","numberOfSentencesThatStartWithAnAdjective","numberOfSentencesThatStartWithANoun","numberOfSentencesThatStartWithAPronoun","numberOfSentencesThatStartWithAnAdverb","numberOfSentencesThatStartWithAnArticle","numberOfSentencesThatStartWithACoordinatingConjunctionRatio","numberOfSentencesThatStartWithADeterminerRatio","numberOfSentencesThatStartWithASubordinatingPrepositionOrConjunctionRatio","numberOfSentencesThatStartWithAnAdjectiveRatio","numberOfSentencesThatStartWithANounRatio","numberOfSentencesThatStartWithAPronounRatio","numberOfSentencesThatStartWithAnAdverbRatio","numberOfSentencesThatStartWithAnArticleRatio","automatedReadabilityIndex","colemanLiauIndex","fleshReadingEase","fleschKincaidGradeLevel","gunningFogIndex","lasbarhetsIndex","smogGrading","daleChallReadabilityFormula","differentWordCount","differentWordsPerSentence","differentWordsRate","nounCount","nounsPerSentence","nounsRate","differentNounCount","differentNounsPerSentence","differentNounsRate","differentNounsDifferentWordsRatio","verbCount","verbsPerSentence","verbsRate","differentVerbCount","differentVerbsPerSentence","differentVerbsRate","differentVerbsDifferentWordsRatio","pronounCount","pronounsPerSentence","pronounsRate","differentPronounCount","differentPronounsPerSentence","differentPronounsRate","differentPronounsDifferentWordsRatio","adjectiveCount","adjectivesPerSentence","adjectivesRate","differentAdjectiveCount","differentAdjectivesPerSentence","differentAdjectivesRate","differentAdjectivesDifferentWordsRatio","adverbCount","adverbsPerSentence","adverbsRate","differentAdverbCount","differentAdverbsPerSentence","differentAdverbsRate","differentAdverbsDifferentWordsRatio","coordinatingConjunctionCount","coordinatingConjunctionsPerSentence","coordinatingConjunctionsRate","differentCoordinatingConjunctionCount","differentCoordinatingConjunctionsPerSentence","differentCoordinatingConjunctionsRate","differentCoordinatingConjunctionsDifferentWordsRatio","subordinatingPrepositionAndConjunctionCount","subordinatingPrepositionsAndConjunctionsPerSentence","subordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionAndConjunctionCount","differentSubordinatingPrepositionsAndConjunctionsPerSentence","differentSubordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionsAndConjunctionsDifferentWordsRatio","syllablesPerWord","charactersPerWord","qualityClass"
7222,1370,2464,72,7,0,15,1031.7142857142858,91.33333333333333,1886,487,3.872689938398357,492.2823425250034,0,1095,0.15162004984768762,44,0.6111111111111112,6.285714285714286,17,0.2361111111111111,2.4285714285714284,3,0.041666666666666664,0.42857142857142855,19.02777777777778,46,6,0.1111111111111111,0.3055555555555556,0,0,0,0,42,0.3684210526315789,0.5833333333333334,0.030656934306569343,5,0.043859649122807015,0.06944444444444445,0.0036496350364963502,20,0.17543859649122806,0.2777777777777778,0.014598540145985401,0,32,9,8,17,1,2,28,0,0.4444444444444444,0.125,0.1111111111111111,0.2361111111111111,0.013888888888888888,0.027777777777777776,0.3888888888888889,12.91280859691809,13.640992700729928,35.36530920519064,13.05360705596107,16.95417680454177,49.50754257907542,15.172626615295595,11.599336171938363,598,8.305555555555555,0.4364963503649635,463,6.430555555555555,0.33795620437956203,248,3.4444444444444446,0.181021897810219,0.41471571906354515,114,1.5833333333333333,0.08321167883211679,104,1.4444444444444444,0.07591240875912408,0.17391304347826086,17,0.2361111111111111,0.012408759124087591,5,0.06944444444444445,0.0036496350364963502,0.008361204013377926,119,1.6527777777777777,0.08686131386861314,86,1.1944444444444444,0.06277372262773723,0.14381270903010032,42,0.5833333333333334,0.030656934306569343,32,0.4444444444444444,0.02335766423357664,0.05351170568561873,57,0.7916666666666666,0.7916666666666666,4,0.05555555555555555,0.00291970802919708,0.006688963210702341,195,2.7083333333333335,0.14233576642335766,32,0.4444444444444444,0.02335766423357664,0.05351170568561873,1.7985401459854014,5.271532846715329,1
15290,3043,5048,116,7,3,19,2184.285714285714,160.1578947368421,6602,854,7.730679156908665,2068.3300372177414,0.42857142857142855,962,0.06291693917593198,89,0.7672413793103449,12.714285714285714,32,0.27586206896551724,4.571428571428571,6,0.05172413793103448,0.8571428571428571,26.232758620689655,71,3,0.1724137931034483,0.25862068965517243,0,0,0,0,64,0.2782608695652174,0.5517241379310345,0.02103187643772593,12,0.05217391304347826,0.10344827586206896,0.003943476832073612,29,0.12608695652173912,0.25,0.009530069010844562,0,37,35,6,15,11,1,33,0,0.31896551724137934,0.3017241379310345,0.05172413793103448,0.12931034482758622,0.09482758620689655,0.008620689655172414,0.28448275862068967,15.352465409588994,12.616562602694707,39.8667191094315,14.215669059571429,16.684362074631434,52.92980885091467,14.640453604609007,11.465354324792912,1010,8.706896551724139,0.3319093000328623,1152,9.931034482758621,0.3785737758790667,495,4.267241379310345,0.16266841932303647,0.4900990099009901,230,1.9827586206896552,0.07558330594807755,156,1.3448275862068966,0.05126519881695695,0.15445544554455445,88,0.7586206896551724,0.028918830101873152,17,0.14655172413793102,0.00558659217877095,0.016831683168316833,183,1.5775862068965518,0.06013802168912258,101,0.8706896551724138,0.03319093000328623,0.1,68,0.5862068965517241,0.0223463687150838,37,0.31896551724137934,0.012159053565560303,0.03663366336633663,102,0.8793103448275862,0.8793103448275862,4,0.034482758620689655,0.0013144922773578706,0.0039603960396039604,429,3.6982758620689653,0.14097929674663162,53,0.45689655172413796,0.017417022674991785,0.05247524752475247,1.6588892540256326,5.02464673020046,1
7992,1546,2721,83,3,0,20,2664,77.3,6088,691,8.81041968162084,2976.7352922287196,0,691,0.08646146146146146,79,0.9518072289156626,26.333333333333332,71,0.8554216867469879,23.666666666666668,2,0.024096385542168676,0.6666666666666666,18.626506024096386,40,2,0.0963855421686747,0.20481927710843373,0,0,0,0,40,0.27586206896551724,0.4819277108433735,0.0258732212160414,14,0.09655172413793103,0.1686746987951807,0.009055627425614488,27,0.18620689655172415,0.3253012048192771,0.017464424320827943,0,26,6,5,33,8,2,24,0,0.3132530120481928,0.07228915662650602,0.060240963855421686,0.39759036144578314,0.0963855421686747,0.024096385542168676,0.2891566265060241,12.231454823173678,13.007347994825356,39.03090751102732,12.44264265340794,16.99782103835783,50.68160537177355,15.174440262864838,11.291040934241494,660,7.951807228915663,0.4269081500646831,565,6.807228915662651,0.3654592496765847,331,3.9879518072289155,0.21410090556274256,0.5015151515151515,145,1.7469879518072289,0.09379042690815007,125,1.5060240963855422,0.08085381630012936,0.1893939393939394,43,0.5180722891566265,0.0278137128072445,12,0.14457831325301204,0.007761966364812419,0.01818181818181818,95,1.144578313253012,0.06144890038809832,67,0.8072289156626506,0.04333764553686934,0.10151515151515152,41,0.4939759036144578,0.02652005174644243,27,0.3253012048192771,0.017464424320827943,0.04090909090909091,47,0.5662650602409639,0.5662650602409639,2,0.024096385542168676,0.00129366106080207,0.0030303030303030303,200,2.4096385542168677,0.129366106080207,32,0.3855421686746988,0.02069857697283312,0.048484848484848485,1.760025873221216,5.169469598965071,1
28319,5768,9523,239,9,18,68,3146.5555555555557,84.82352941176471,10588,671,15.779433681073025,3393.3395464907103,2,671,0.02369433948938875,239,1,26.555555555555557,198,0.8284518828451883,22,4,0.016736401673640166,0.4444444444444444,24.13389121338912,71,2,0.18828451882845187,0.3263598326359833,0,0,1,0.0041841004184100415,188,0.39330543933054396,0.7866108786610879,0.03259361997226075,25,0.05230125523012552,0.10460251046025104,0.004334257975034674,104,0.2175732217573222,0.4351464435146444,0.018030513176144243,1,74,69,19,29,23,15,58,0.0041841004184100415,0.30962343096234307,0.28870292887029286,0.0794979079497908,0.12133891213389121,0.09623430962343096,0.06276150627615062,0.24267782426778242,13.761510447193864,11.842392510402224,42.66403107028245,13.304083037854213,16.498216679530408,49.454319717238604,14.738360639426709,11.671859312089786,1863,7.794979079497908,0.32298890429958393,1962,8.209205020920502,0.34015256588072124,907,3.794979079497908,0.157246879334258,0.4868491680085883,478,2,0.08287101248266297,295,1.2343096234309623,0.05114424410540915,0.1583467525496511,210,0.8786610878661087,0.03640776699029126,21,0.08786610878661087,0.0036407766990291263,0.011272141706924315,516,2.1589958158995817,0.08945908460471567,250,1.0460251046025104,0.04334257975034674,0.13419216317767044,211,0.8828451882845189,0.03658113730929265,99,0.41422594142259417,0.01716366158113731,0.05314009661835749,154,0.6443514644351465,0.6443514644351465,6,0.02510460251046025,0.0010402219140083217,0.00322061191626409,758,3.1715481171548117,0.13141470180305131,59,0.24686192468619247,0.010228848821081831,0.03166935050993022,1.6510055478502081,4.909674063800278,1
9780,1894,3345,62,4,2,17,2445,111.41176470588235,7663,342,22.406432748538013,3502.4780751157696,0.5,342,0.03496932515337423,37,0.5967741935483871,9.25,2,0.03225806451612903,0.5,1,0.016129032258064516,0.25,30.548387096774192,100,5,0.1774193548387097,0.41935483870967744,1,0.016129032258064516,0,0,41,0.2887323943661972,0.6612903225806451,0.02164730728616684,10,0.07042253521126761,0.16129032258064516,0.005279831045406547,11,0.07746478873239436,0.1774193548387097,0.005807814149947202,0,23,9,1,11,9,7,20,0,0.3709677419354839,0.14516129032258066,0.016129032258064516,0.1774193548387097,0.14516129032258066,0.11290322580645161,0.3225806451612903,18.165101679326902,13.593453009503694,26.416032292127966,17.16389208706612,21.427380181898698,59.4724581947706,18.27839196684697,11.79617201689546,765,12.338709677419354,0.40390707497360084,676,10.903225806451612,0.35691657866948256,346,5.580645161290323,0.18268215417106654,0.4522875816993464,142,2.2903225806451615,0.07497360084477296,128,2.064516129032258,0.0675818373812038,0.16732026143790849,74,1.1935483870967742,0.03907074973600845,11,0.1774193548387097,0.005807814149947202,0.01437908496732026,135,2.1774193548387095,0.07127771911298839,105,1.6935483870967742,0.05543822597676874,0.13725490196078433,76,1.2258064516129032,0.04012671594508976,57,0.9193548387096774,0.03009503695881732,0.07450980392156863,55,0.8870967741935484,0.8870967741935484,3,0.04838709677419355,0.0015839493136219642,0.00392156862745098,241,3.8870967741935485,0.12724392819429778,32,0.5161290322580645,0.01689545934530095,0.04183006535947712,1.76610348468849,5.163674762407603,1
9054,1899,2983,79,5,0,17,1810.8,111.70588235294117,3396,488,6.959016393442623,1419.6766181070955,0,925,0.10216478904351668,55,0.6962025316455697,11,7,0.08860759493670886,1.4,7,0.08860759493670886,1.4,24.037974683544302,70,4,0.1518987341772152,0.3670886075949367,0,0,0,0,51,0.29310344827586204,0.6455696202531646,0.026856240126382307,6,0.034482758620689655,0.0759493670886076,0.00315955766192733,26,0.14942528735632185,0.3291139240506329,0.01369141653501843,0,10,23,1,26,11,4,7,0,0.12658227848101267,0.2911392405063291,0.012658227848101266,0.3291139240506329,0.13924050632911392,0.05063291139240506,0.08860759493670886,13.045195872577843,11.003117430226435,49.544512568240464,12.320565787456424,15.302393664886916,46.90787834418629,13.690300125992586,10.399768273108432,703,8.89873417721519,0.3701948393891522,627,7.936708860759493,0.330173775671406,301,3.810126582278481,0.15850447604002108,0.42816500711237554,174,2.2025316455696204,0.09162717219589257,116,1.4683544303797469,0.061084781463928386,0.16500711237553342,117,1.481012658227848,0.061611374407582936,10,0.12658227848101267,0.0052659294365455505,0.01422475106685633,126,1.5949367088607596,0.06635071090047394,82,1.0379746835443038,0.04318062137967351,0.1166429587482219,59,0.7468354430379747,0.031068983675618746,43,0.5443037974683544,0.022643496577145865,0.06116642958748222,52,0.6582278481012658,0.6582278481012658,4,0.05063291139240506,0.00210637177461822,0.005689900426742532,283,3.5822784810126582,0.14902580305423907,40,0.5063291139240507,0.021063717746182202,0.05689900426742532,1.5708267509215377,4.767772511848341,1
9879,1940,3220,61,3,1,13,3293,149.23076923076923,4434,1111,3.990999099909991,1890.3288073771716,0.3333333333333333,1111,0.11246077538212369,71,1.1639344262295082,23.666666666666668,4,0.06557377049180328,1.3333333333333333,1,0.01639344262295082,0.3333333333333333,31.80327868852459,143,4,0.21311475409836064,0.4918032786885246,1,0.01639344262295082,0,0,64,0.39263803680981596,1.0491803278688525,0.032989690721649485,7,0.04294478527607362,0.11475409836065574,0.0036082474226804126,22,0.13496932515337423,0.36065573770491804,0.01134020618556701,1,9,7,1,26,12,1,8,0.01639344262295082,0.14754098360655737,0.11475409836065574,0.01639344262295082,0.4262295081967213,0.19672131147540983,0.01639344262295082,0.13114754098360656,18.456221818489098,13.211814432989687,34.13611543011663,16.39884569883387,19.2986310630387,59.279143536875495,16.193075576709123,11.73342200439412,769,12.60655737704918,0.39639175257731957,668,10.950819672131148,0.3443298969072165,356,5.836065573770492,0.18350515463917524,0.46293888166449937,163,2.6721311475409837,0.08402061855670104,122,2,0.06288659793814433,0.15864759427828348,81,1.3278688524590163,0.041752577319587626,10,0.16393442622950818,0.005154639175257732,0.013003901170351105,147,2.4098360655737703,0.07577319587628865,100,1.639344262295082,0.05154639175257732,0.13003901170351106,88,1.4426229508196722,0.04536082474226804,53,0.8688524590163934,0.02731958762886598,0.06892067620286085,76,1.2459016393442623,1.2459016393442623,4,0.06557377049180328,0.002061855670103093,0.005201560468140442,272,4.459016393442623,0.1402061855670103,35,0.5737704918032787,0.01804123711340206,0.045513654096228866,1.6597938144329898,5.092268041237113,1
12255,2324,4256,98,5,0,22,2451,105.63636363636364,8752,109,80.29357798165138,3558.291373679227,0,841,0.068625050999592,43,0.4387755102040816,8.6,16,0.16326530612244897,3.2,7,0.07142857142857142,1.4,23.714285714285715,69,2,0.21428571428571427,0.3469387755102041,0,0,0,0,62,0.36257309941520466,0.6326530612244898,0.02667814113597246,6,0.03508771929824561,0.061224489795918366,0.0025817555938037868,16,0.0935672514619883,0.16326530612244897,0.0068846815834767644,0,12,27,2,25,14,8,8,0,0.12244897959183673,0.2755102040816326,0.02040816326530612,0.25510204081632654,0.14285714285714285,0.08163265306122448,0.08163265306122448,15.264083476764199,13.95843373493976,27.834879518072313,15.268209982788296,20.019277108433737,56.648341264216526,17.405135163868152,11.797289672977625,872,8.89795918367347,0.37521514629948366,760,7.755102040816326,0.3270223752151463,397,4.051020408163265,0.17082616179001722,0.4552752293577982,171,1.7448979591836735,0.07358003442340792,141,1.4387755102040816,0.060671256454388985,0.16169724770642202,107,1.0918367346938775,0.04604130808950086,12,0.12244897959183673,0.0051635111876075735,0.013761467889908258,226,2.306122448979592,0.0972461273666093,120,1.2244897959183674,0.05163511187607573,0.13761467889908258,100,1.0204081632653061,0.043029259896729774,61,0.6224489795918368,0.026247848537005163,0.06995412844036697,129,1.316326530612245,1.316326530612245,4,0.04081632653061224,0.0017211703958691911,0.0045871559633027525,296,3.020408163265306,0.12736660929432014,40,0.40816326530612246,0.01721170395869191,0.045871559633027525,1.8313253012048192,5.273235800344234,1
53177,10526,18098,387,7,16,78,7596.714285714285,134.94871794871796,18545,692,26.79913294797688,6777.238681266666,2.2857142857142856,2395,0.04503826842431879,203,0.524547803617571,29,100,0.25839793281653745,14.285714285714286,13,0.03359173126614987,1.8571428571428572,27.198966408268735,118,2,0.21705426356589147,0.4108527131782946,2,0.00516795865633075,4,0.0103359173126615,307,0.3381057268722467,0.7932816537467701,0.029165874976249288,81,0.08920704845814978,0.20930232558139536,0.007695230856925707,105,0.11563876651982379,0.2713178294573643,0.00997529925897777,3,45,117,7,94,74,35,29,0.007751937984496124,0.11627906976744186,0.3023255813953488,0.01808785529715762,0.24289405684754523,0.19121447028423771,0.09043927648578812,0.07493540051679587,15.964245697009154,12.817286718601558,33.770059355915066,15.30606355322443,18.935828250558114,55.68100102116364,16.499899724448714,11.204962615666584,2628,6.790697674418604,0.24966749002470073,3135,8.10077519379845,0.29783393501805056,1221,3.1550387596899223,0.11599847995439863,0.4646118721461187,908,2.34625322997416,0.08626258787763633,390,1.0077519379844961,0.037051111533346,0.14840182648401826,692,1.7881136950904393,0.06574197225916778,24,0.06201550387596899,0.0022800684020520615,0.0091324200913242,910,2.351421188630491,0.08645259357780734,417,1.0775193798449612,0.03961618848565457,0.158675799086758,443,1.144702842377261,0.042086262587877635,169,0.43669250645994834,0.016055481664449932,0.06430745814307458,384,0.9922480620155039,0.9922480620155039,7,0.01808785529715762,0.000665019950598518,0.002663622526636225,1609,4.1576227390180875,0.15285958578757364,71,0.1834625322997416,0.006745202356070682,0.027016742770167426,1.7193615808474254,5.05196655899677,1
14046,2700,4780,126,8,2,23,1755.75,117.3913043478261,4137,519,7.971098265895954,1384.129509836417,0.25,519,0.03695002135839385,111,0.8809523809523809,13.875,18,0.14285714285714285,2.25,3,0.023809523809523808,0.375,21.428571428571427,54,7,0.16666666666666666,0.3333333333333333,0,0,0,0,106,0.5196078431372549,0.8412698412698413,0.03925925925925926,6,0.029411764705882353,0.047619047619047616,0.0022222222222222222,46,0.22549019607843138,0.36507936507936506,0.017037037037037038,0,33,24,15,36,10,4,30,0,0.2619047619047619,0.19047619047619047,0.11904761904761904,0.2857142857142857,0.07936507936507936,0.031746031746031744,0.23809523809523808,13.786752380952379,13.40773333333333,35.311666666666696,13.657513227513231,17.238095238095237,53.835978835978835,15.438520173184436,11.617716402116402,918,7.285714285714286,0.34,947,7.515873015873016,0.35074074074074074,455,3.611111111111111,0.1685185185185185,0.49564270152505446,204,1.619047619047619,0.07555555555555556,139,1.1031746031746033,0.05148148148148148,0.1514161220043573,68,0.5396825396825397,0.025185185185185185,12,0.09523809523809523,0.0044444444444444444,0.013071895424836602,269,2.134920634920635,0.09962962962962962,135,1.0714285714285714,0.05,0.14705882352941177,81,0.6428571428571429,0.03,37,0.29365079365079366,0.013703703703703704,0.04030501089324619,85,0.6746031746031746,0.6746031746031746,3,0.023809523809523808,0.0011111111111111111,0.0032679738562091504,422,3.3492063492063493,0.1562962962962963,41,0.3253968253968254,0.015185185185185185,0.044662309368191724,1.7703703703703704,5.202222222222222,1
