"characterCount","wordCount","syllableCount","sentenceCount","sectionCount","subsectionCount","paragraphCount","meanSectionSize","meanParagraphSize","largestSectionSize","shortestSectionSize","largestShortestSectionRatio","sectionSizeStandardDeviation","meanOfSubsectionsPerSection","abstractSize","abstractSizeArtcileLengthRatio","citationCount","citationCountPerSentence","citationCountPerSection","externalLinksCount","externalLinksPerSentence","externalLinksPerSection","imageCount","imagePerSentence","imagePerSection","meanSentenceSize","largestSentenceSize","shortestSentenceSize","largeSentenceRate","shortSentenceRate","questionCount","questionRatio","exclamationCount","exclamationRatio","toBeVerbCount","toBeVerbRatio","toBeVerbPerSentence","toBeVerbRate","automatedReadabilityIndex","colemanLiauIndex","fleshReadingEase","fleschKincaidGradeLevel","gunningFogIndex","lasbarhetsIndex","smogGrading","linsearWriteFormula","daleChallReadabilityFormula","differentWordCount","differentWordsPerSentence","differentWordsRate","nounCount","nounsPerSentence","nounsRate","differentNounCount","differentNounsPerSentence","differentNounsRate","verbCountentence","verbsRate","differentVerbCount","differentVerbsPerSentence","differentVerbsRate","pronounCount","pronounsPerSentence","pronounsRate","differentPronounCount","differentPronounsPerSentence","differentPronounsRate","adjectiveCount","adjectivesPerSentence","differentAdjectiveCount","differentAdjectivesPerSentence","differentAdjectivesRate","adverbCount","adverbsPerSentence","adverbsRate","differentAdverbCount","differentAdverbsPerSentence","differentAdverbsRate","coordinatingConjunctionCount","coordinatingConjunctionsPerSentence","coordinatingConjunctionsRate","differentCoordinatingConjunctionCount","differentCoordinatingConjunctionsPerSentence","differentCoordinatingConjunctionsRate","subordinatingPrepositionAndConjunctionCount","subordinatingPrepositionsAndConjunctionsPerSentence","subordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionAndConjunctionCount","differentSubordinatingPrepositionsAndConjunctionsPerSentence","differentSubordinatingPrepositionsAndConjunctionsRate","syllablesPerWord","charactersPerWord","qualityClass"
45556,8193,15778,373,14,12,84,3254,97.535714,18545,109,170.137615,3349.955924,0.857143,1095,0.024036,220,0.589812,15.714286,50,0.134048,3.571429,14,0,1,21.965147,65,3,0.155496,0.281501,0,0,0,0,297,0.447289,0.796247,0.03625,15.741852,15.547306,21.618515,15.700733,51.310165,176.213908,30.734853,-0.797587,38.499187,2080,5.576408,0.253875,2558,6.857909,0.312218,912,2.44504,0.111315,,0.081045,268,0.718499,0.032711,129,0.345845,0.015745,10,0.02681,0.001221,999,2.678284,418,1.120643,0.051019,304,0.815013,0.037105,119,0.319035,0.014525,338,0.906166,0.906166,4,0.010724,0.000488,1090,2.922252,0.13304,47,0.126005,0.005737,1.92579,5.560356,7
35248,6929,12102,312,11,18,84,3204.363636,82.488095,18545,109,170.137615,3346.332914,1.636364,1095,0.031066,268,0.858974,24.363636,218,0.698718,19.818182,26,0,2.363636,22.208333,81,4,0.189103,0.339744,1,0.003205,0,0,232,0.514412,0.74359,0.033482,13.634057,12.778877,36.533519,13.680804,67.864427,233.795224,35.820185,-0.774038,51.713796,2190,7.019231,0.316063,2549,8.169872,0.367874,1230,3.942308,0.177515,,0.065089,231,0.740385,0.033338,79,0.253205,0.011401,11,0.035256,0.001588,650,2.083333,290,0.929487,0.041853,165,0.528846,0.023813,77,0.246795,0.011113,261,0.836538,0.836538,3,0.009615,0.000433,922,2.955128,0.133064,44,0.141026,0.00635,1.746572,5.087026,7
7969,1588,2636,63,5,1,14,1593.8,113.428571,18545,109,170.137615,3272.133824,0.2,1095,0.137407,44,0.698413,8.8,6,0.095238,1.2,3,0,0.6,25.206349,91,8,0.15873,0.380952,0,0,0,0,52,0.419355,0.825397,0.032746,14.809188,12.533073,40.818818,13.827882,274.566167,978.739276,76.880337,0.039683,215.73494,513,8.142857,0.323048,502,7.968254,0.316121,187,2.968254,0.117758,,0.078086,89,1.412698,0.056045,30,0.47619,0.018892,11,0.174603,0.006927,140,2.222222,68,1.079365,0.042821,53,0.84127,0.033375,28,0.444444,0.017632,50,0.793651,0.793651,3,0.047619,0.001889,240,3.809524,0.151134,34,0.539683,0.021411,1.65995,5.018262,7
25393,4818,8546,242,6,12,61,4232.166667,78.983607,18545,109,170.137615,3279.345628,2,1095,0.043122,170,0.702479,28.333333,55,0.227273,9.166667,13,0,2.166667,19.909091,54,2,0.144628,0.264463,0,0,0,0,183,0.527378,0.756198,0.037983,13.348337,13.703454,36.56675,13.104973,102.974014,368.426787,42.414048,-0.737603,81.499464,1439,5.946281,0.298672,1631,6.739669,0.338522,655,2.706612,0.135949,,0.072022,167,0.690083,0.034662,74,0.305785,0.015359,4,0.016529,0.00083,558,2.305785,279,1.152893,0.057908,171,0.706612,0.035492,69,0.285124,0.014321,197,0.81405,0.81405,5,0.020661,0.001038,674,2.785124,0.139892,38,0.157025,0.007887,1.773765,5.270444,7
11564,2290,3944,114,6,3,29,1927.333333,78.965517,18545,109,170.137615,3206.744123,0.5,1095,0.09469,51,0.447368,8.5,6,0.052632,1,3,0,0.5,20.087719,48,4,0.087719,0.22807,0,0,0,0,78,0.39196,0.684211,0.034061,12.398331,12.419179,40.74186,12.567005,216.471769,783.188153,61.576787,-0.328947,173.192825,763,6.692982,0.333188,670,5.877193,0.292576,283,2.482456,0.123581,,0.0869,112,0.982456,0.048908,30,0.263158,0.0131,5,0.04386,0.002183,248,2.175439,134,1.175439,0.058515,98,0.859649,0.042795,53,0.464912,0.023144,96,0.842105,0.842105,3,0.026316,0.00131,354,3.105263,0.154585,42,0.368421,0.018341,1.722271,5.049782,7
7383,1398,2560,95,6,1,14,1230.5,99.857143,18545,109,170.137615,3140.928189,0.166667,1095,0.148314,106,1.115789,17.666667,18,0.189474,3,4,0,0.666667,14.715789,34,3,0.136842,0.263158,0,0,0,0,61,0.504132,0.642105,0.043634,10.801951,13.241516,36.980019,11.757169,356.587317,1296.618508,68.018719,-0.173684,287.264922,572,6.021053,0.409156,462,4.863158,0.330472,250,2.631579,0.178827,,0.086552,66,0.694737,0.04721,27,0.284211,0.019313,3,0.031579,0.002146,159,1.673684,101,1.063158,0.072246,54,0.568421,0.038627,38,0.4,0.027182,64,0.673684,0.673684,3,0.031579,0.002146,171,1.8,0.122318,26,0.273684,0.018598,1.831187,5.281116,7
47896,9588,15648,439,8,14,55,5987,174.327273,18545,109,170.137615,3344.190156,1.75,1095,0.022862,344,0.783599,43,152,0.346241,19,6,0,0.75,21.840547,133,2,0.164009,0.305239,0,0,0,0,272,0.284222,0.61959,0.028369,13.018659,12.217739,46.596257,12.185886,66.333215,235.261021,35.165714,-0.843964,52.369756,2665,6.070615,0.277952,3028,6.897494,0.315811,1141,2.599089,0.119003,,0.099812,446,1.015945,0.046516,555,1.264237,0.057885,24,0.05467,0.002503,728,1.658314,391,0.890661,0.04078,294,0.669704,0.030663,111,0.252847,0.011577,273,0.621868,0.621868,6,0.013667,0.000626,1207,2.749431,0.125887,52,0.118451,0.005423,1.63204,4.995411,7
48825,9585,16559,337,8,10,89,6103.125,107.696629,31237,109,286.577982,4136.343492,1.25,1095,0.022427,242,0.718101,30.25,166,0.492582,20.75,19,0,2.375,28.442136,158,5,0.186944,0.418398,1,0.002967,1,0.002967,229,0.287327,0.679525,0.023891,16.783322,13.111403,31.811677,15.888057,77.179672,271.841486,42.205837,-0.808605,59.202729,2619,7.771513,0.273239,2977,8.833828,0.310589,1248,3.703264,0.130203,,0.083151,421,1.249258,0.043923,475,1.409496,0.049557,21,0.062315,0.002191,842,2.498516,404,1.198813,0.042149,252,0.747774,0.026291,118,0.350148,0.012311,372,1.103858,1.103858,4,0.011869,0.000417,1451,4.305638,0.151382,52,0.154303,0.005425,1.727595,5.093897,7
26285,5305,8290,226,6,8,45,4380.833333,117.888889,31237,109,286.577982,4159.940821,1.333333,1095,0.041659,221,0.977876,36.833333,95,0.420354,15.833333,12,0,2,23.473451,63,7,0.128319,0.261062,0,0,0,0,200,0.477327,0.884956,0.0377,13.643644,12.072988,50.806996,12.004231,133.988815,489.897482,51.978749,-0.732301,108.214122,1529,6.765487,0.288219,1925,8.517699,0.362865,759,3.358407,0.143073,,0.078982,206,0.911504,0.038831,103,0.455752,0.019416,9,0.039823,0.001697,435,1.924779,214,0.946903,0.040339,137,0.606195,0.025825,59,0.261062,0.011122,219,0.969027,0.969027,3,0.013274,0.000566,636,2.814159,0.119887,39,0.172566,0.007352,1.562677,4.95476,7
16254,3273,5326,140,7,6,38,2322,86.131579,31237,109,286.577982,4079.258192,0.857143,1095,0.067368,108,0.771429,15.428571,42,0.3,6,19,0,2.714286,23.378571,73,3,0.207143,0.371429,1,0.007143,1,0.007143,124,0.5,0.885714,0.037886,13.649552,12.13447,45.440122,12.729232,217.466308,806.50027,66.134169,-0.489286,178.572915,1173,8.378571,0.358387,969,6.921429,0.296059,460,3.285714,0.140544,,0.075771,153,1.092857,0.046746,56,0.4,0.01711,8,0.057143,0.002444,435,3.107143,238,1.7,0.072716,161,1.15,0.04919,85,0.607143,0.02597,167,1.192857,1.192857,4,0.028571,0.001222,395,2.821429,0.120684,43,0.307143,0.013138,1.627253,4.966086,7
