"ng ","he "," th"," of","ed ","in "," an","the","on ","ing","of ","nd ","and"," in","er ","s a","as "," a ","is ","qualityClass"
32,140,139,72,72,37,76,118,40,56,79,66,54,56,29,36,39,29,45,7
10,34,34,21,16,16,24,32,11,22,19,15,17,14,17,8,14,6,1,7
60,152,144,47,98,72,86,129,44,47,68,89,95,89,30,36,41,36,17,7
43,79,79,35,43,44,49,93,27,32,36,46,47,39,31,27,35,19,27,7
14,35,50,22,32,16,14,55,21,11,11,23,16,14,18,6,22,9,5,7
26,111,103,32,37,22,41,110,20,28,34,31,31,43,9,11,18,28,25,7
19,42,50,27,30,16,16,46,16,21,29,13,25,15,20,10,15,12,7,7
103,363,395,133,171,98,118,361,103,134,126,145,136,90,68,48,68,53,28,7
116,499,555,248,260,172,201,527,66,139,220,200,219,231,101,67,116,64,36,7
14,45,49,20,25,15,12,47,14,9,18,18,14,22,8,7,8,9,20,7
8,68,55,22,34,11,23,51,23,22,29,20,18,19,12,9,15,10,4,7
8,34,54,12,20,19,16,41,14,14,26,24,17,15,11,11,10,9,14,7
41,89,123,47,84,31,65,95,64,47,55,60,68,38,48,22,49,35,65,7
41,174,217,111,56,43,66,216,56,45,104,56,61,72,55,61,30,58,68,7
40,131,134,60,75,64,83,127,51,56,68,76,62,76,35,41,23,23,15,7
25,50,66,32,43,27,21,64,19,24,24,15,14,18,35,8,25,9,7,7
29,78,82,40,78,24,29,65,37,44,28,37,47,52,30,13,34,32,6,7
69,154,164,101,131,63,85,171,36,65,101,101,113,63,32,32,35,17,12,7
31,108,125,60,70,54,60,108,45,36,76,45,63,98,37,30,23,24,26,7
60,166,161,59,101,70,73,125,46,78,59,62,78,96,59,29,52,53,36,7
34,68,94,14,31,27,47,62,19,30,24,55,49,37,20,30,23,18,23,7
18,101,113,50,31,14,28,117,23,20,48,35,28,30,27,11,22,16,14,7
28,71,86,37,79,27,36,59,32,25,22,28,42,39,17,12,28,8,1,6
20,71,79,35,51,34,31,77,27,23,39,27,28,34,21,15,13,6,5,6
