"200","The","ame","nt ","ng ","s t","he ","e o","f t","men","t a","wit"," th","ge ","e i","ent","str","ion"," of","e b","din","enc","ed ","in "," an","d t","ber","s o","te ","the","mbe",". T","for","by ","en "," to","ce ","on "," 20","ric",", t"," ar","t w","des","ing"," be","ts ","com","tio","ati","r o","ere","d i","n t","era","all","ch ","of ","nd ","ate","d o","and","ist","rat","ive","t o"," pr","ded"," in","fro","y o","er ","se ","to ","one","par","an ","sta"," se","rom"," co","con","ver","es ",", a","e a","ll ","tic","d b","s, "," me","n i","e t","sti","al "," ma","her"," ha","e c","ons","cti"," fo"," wa","iti"," wh","rea","lis","t i","o t","ich"," de"," we","re ","s a","ic ","as ","ect"," Th","eve"," a ","e, ","e p"," wo","rou","inc","ith","out"," pa","ear","rit","tur","res"," is","ity","e s","ite","ly ","sed","rs ","le ","e w"," bo","y t"," st","ste","e. ","ter","ide","th ","or ","s. ","is ","s b","ry ","eat"," re","nce"," 19"," wi","clu","man","om ","was"," at","d a","ica","e f","r t"," di","ty ","ain","est","ove","ut ","art","int","n o","mer"," on","ill","s c","ers","tin","at ","tha","orm","his","ren","tor","t t"," by","nal","hat","s i","n a","der"," as","sin","me ","g t","st ","nti","ran","oun","ted","d s","pro","are","n, ","nte","s w","nat","y, ","ve "," Ma","ns "," al","tra","red","cal"," Co",".  ",". I","nde","e m","ine","ne ","d w"," In"," or","s f"," ba","per","ess","eri"," fr","ase"," hi","age","e e","lin","ial"," fi","has"," He","ali"," Ch","qualityClass"
1,13,0,5,39,15,120,9,12,5,6,14,115,7,13,15,16,18,50,6,13,4,94,37,52,14,12,27,7,117,1,13,11,8,13,34,6,22,3,19,18,6,4,18,49,8,22,4,14,9,1,24,9,18,7,15,9,46,64,24,6,60,11,8,16,10,12,3,44,4,7,32,13,20,4,3,15,9,23,4,14,5,28,20,29,8,7,2,10,33,7,5,18,1,31,12,17,9,11,6,5,10,40,6,21,10,0,6,8,7,25,26,37,26,3,20,4,11,17,19,11,6,2,10,5,16,14,8,9,4,7,18,1,8,30,10,31,4,4,9,14,4,9,28,12,8,23,11,25,3,17,5,3,7,12,28,11,3,27,2,11,5,19,24,32,29,9,6,7,3,17,22,2,9,2,8,3,8,12,5,5,9,8,21,4,18,3,5,24,14,14,2,3,14,15,8,7,1,3,24,18,8,4,3,24,16,9,8,5,10,10,0,5,3,7,9,22,8,19,8,2,2,6,7,9,9,12,7,3,1,3,2,7,9,4,5,1,6,20,5,7,5,2,1,0,0,2,6
3,10,1,7,10,6,38,11,8,3,5,2,35,1,11,20,3,10,13,1,4,4,22,10,15,5,2,3,4,41,3,6,7,6,5,17,10,21,0,4,8,5,0,0,11,8,6,4,21,11,3,2,5,10,0,7,1,21,18,4,1,11,4,0,1,2,5,2,13,0,3,9,15,16,1,1,5,2,3,0,4,3,3,8,6,5,2,3,8,2,0,4,4,0,6,1,3,6,3,3,1,13,0,0,7,2,1,5,2,3,4,0,11,8,7,4,3,4,3,14,2,3,1,0,0,2,0,4,2,3,1,6,11,7,5,0,7,5,4,0,1,0,3,3,1,3,3,14,4,16,3,9,1,6,0,7,4,0,3,1,1,2,1,0,7,9,7,4,0,8,5,1,2,1,0,1,5,0,8,0,2,6,0,6,3,5,2,1,5,4,4,2,5,4,9,4,3,2,3,2,3,13,0,1,1,2,6,9,3,4,1,2,3,7,0,4,5,3,2,2,2,5,2,1,3,3,1,1,4,3,0,0,2,5,3,2,1,0,4,1,2,2,1,1,0,2,0,6
3,14,3,8,21,11,89,11,14,8,11,10,79,5,14,21,2,27,56,8,2,6,33,18,46,13,2,15,10,80,3,10,21,5,13,19,8,24,7,9,8,6,5,6,18,22,18,4,24,21,1,5,3,17,10,18,8,52,31,18,6,30,5,9,4,6,7,4,34,4,6,25,32,21,4,2,4,9,7,7,29,6,4,17,13,9,9,5,14,10,0,5,15,1,27,10,8,9,17,6,3,16,1,17,10,7,3,13,7,1,5,6,24,19,10,16,7,8,0,12,7,17,4,3,7,14,5,38,4,10,1,4,16,13,3,1,12,6,7,11,9,7,9,11,3,1,9,9,12,27,9,9,8,7,0,23,4,2,15,1,3,5,3,6,7,5,4,8,3,9,5,4,6,3,5,13,4,1,9,4,6,3,8,15,8,5,3,7,9,7,6,9,5,6,6,5,6,2,3,6,8,5,2,9,4,2,4,17,4,9,7,8,3,9,0,13,5,7,6,1,0,3,5,4,1,5,6,4,3,14,5,3,4,5,2,8,2,1,8,2,3,6,5,0,0,4,0,6
0,7,2,0,13,19,73,2,6,4,2,5,48,13,6,4,5,11,22,3,1,0,16,7,21,15,4,3,4,51,3,4,5,4,4,12,2,10,0,0,11,0,2,6,13,10,6,5,8,3,3,3,5,7,1,10,4,23,13,2,4,15,2,2,3,8,4,2,14,6,3,5,3,18,0,4,5,4,4,2,7,4,8,9,1,6,6,0,6,5,1,2,7,0,8,1,3,7,8,7,8,3,12,2,1,0,0,1,4,0,1,5,1,13,3,19,5,7,2,15,3,1,2,7,1,6,4,3,3,0,3,7,3,3,3,2,4,0,4,3,5,3,1,5,4,6,12,6,8,4,1,5,2,1,1,8,3,6,4,0,1,1,6,6,4,2,5,7,2,2,5,6,9,0,1,6,2,4,9,3,2,4,4,8,3,0,4,1,2,1,4,7,2,2,4,1,14,4,1,5,14,8,5,0,6,1,6,2,4,8,4,1,1,4,0,3,3,5,3,4,2,1,2,1,1,1,2,2,1,0,3,1,1,3,1,2,1,7,0,2,2,1,1,1,0,2,0,6
3,4,4,26,49,10,114,11,18,17,9,12,129,11,10,60,4,60,62,2,6,5,79,36,57,25,13,18,13,127,16,9,28,16,14,29,10,30,7,2,12,5,4,2,44,20,13,6,39,26,12,16,9,26,3,15,6,75,53,35,10,54,21,8,8,10,36,7,46,13,2,46,15,35,10,5,30,12,7,11,22,13,16,31,14,9,5,6,12,21,4,7,10,8,32,8,14,11,18,16,4,23,14,14,12,4,4,4,7,7,11,9,17,22,4,24,23,9,12,23,16,23,6,10,5,13,8,6,3,5,6,31,8,4,18,3,9,10,19,16,9,5,9,12,13,4,20,18,16,44,9,29,2,6,0,26,20,1,15,1,23,7,12,5,10,5,9,15,12,6,6,16,28,6,11,9,15,3,17,9,8,18,12,22,23,6,14,3,20,18,11,10,17,17,15,10,13,6,17,12,11,6,3,13,15,3,12,9,8,13,14,10,7,5,10,9,9,8,5,5,8,4,8,14,7,1,5,5,8,7,10,3,4,12,4,12,3,12,5,11,5,13,8,5,0,8,4,6
1,0,4,5,18,4,38,3,4,3,2,1,38,2,6,5,7,10,12,1,3,1,49,9,17,8,0,7,2,45,0,5,2,3,1,20,1,21,1,1,10,1,4,2,20,4,6,3,7,4,0,14,5,4,2,5,1,15,18,16,9,17,1,0,9,4,4,1,15,5,1,9,1,18,1,2,1,1,4,3,7,3,7,10,4,7,3,0,2,4,1,0,10,0,9,3,11,1,3,3,1,6,13,3,3,5,0,1,0,0,9,17,16,5,3,15,2,9,4,10,1,1,0,4,3,3,7,0,2,1,2,12,2,1,10,0,12,5,3,7,5,0,4,11,4,4,9,10,5,4,3,4,4,1,1,11,6,0,10,0,0,4,4,4,15,5,2,8,1,3,9,11,2,5,1,5,2,1,3,5,5,5,3,2,1,5,1,0,9,1,5,3,3,2,1,5,7,4,1,3,5,0,1,3,6,3,3,1,4,4,8,0,2,2,1,4,5,3,3,5,1,2,0,5,1,10,4,8,2,1,2,1,2,5,2,4,2,0,3,1,0,1,1,0,1,0,4,6
0,32,12,42,104,40,312,46,47,27,18,35,337,16,18,58,21,74,155,20,17,7,198,112,142,111,18,50,20,301,19,40,51,28,65,124,11,105,0,11,18,11,15,16,144,56,30,23,63,41,12,40,23,68,12,19,41,126,148,28,36,177,23,9,32,28,18,18,84,20,21,82,19,116,16,11,35,20,33,32,68,23,29,77,43,41,25,8,32,37,15,17,47,19,38,25,34,64,39,21,14,60,55,32,48,32,11,13,28,26,33,18,46,46,12,83,28,31,14,114,16,22,23,12,31,39,30,19,19,6,35,21,19,8,60,12,49,23,20,30,28,18,22,25,10,10,52,22,51,36,31,64,11,27,13,68,23,2,40,7,21,25,46,28,48,17,27,25,31,9,23,16,12,41,17,18,21,12,79,17,19,20,33,76,45,8,67,8,7,55,16,10,42,25,29,14,43,15,28,30,51,20,14,30,58,28,19,16,14,14,29,13,12,30,16,32,17,17,17,20,5,4,5,18,14,16,19,21,1,10,21,10,22,17,24,30,1,62,28,15,9,11,26,2,27,17,16,6
3,20,3,3,53,21,121,12,10,7,11,6,157,1,7,13,3,37,29,1,7,6,80,23,29,34,7,6,2,144,5,15,13,8,14,43,22,39,4,2,18,5,3,0,65,16,14,9,27,33,2,16,6,8,12,18,9,35,49,18,5,46,6,4,10,7,7,4,30,12,3,36,14,40,7,3,14,7,2,8,22,7,7,18,13,16,12,9,12,5,0,3,12,2,25,4,10,12,11,18,15,13,30,4,20,7,1,5,13,13,7,10,23,11,2,20,6,24,2,14,7,8,2,9,5,6,8,14,4,2,4,5,4,10,10,6,12,7,8,7,23,1,8,10,3,7,42,7,26,18,11,25,0,9,5,21,9,20,24,1,9,9,25,14,19,6,12,12,10,5,8,2,8,5,4,10,6,5,16,5,3,15,8,27,16,6,8,2,5,21,7,9,7,8,14,12,11,2,7,18,14,13,3,7,20,7,4,3,5,20,18,1,4,6,5,7,9,8,7,9,13,0,6,7,5,9,6,7,14,5,8,8,17,2,6,7,8,3,3,2,2,0,6,0,0,2,0,6
0,1,2,2,5,5,39,3,7,2,1,1,27,4,4,4,5,5,15,0,3,1,35,10,13,6,8,4,2,40,3,7,5,2,3,13,1,8,0,8,2,0,3,1,13,2,3,1,4,2,1,6,1,6,1,7,1,16,20,9,3,19,0,1,4,0,8,3,15,5,1,10,1,10,0,0,5,1,2,2,7,1,5,1,7,3,4,0,2,6,0,2,6,1,3,2,4,2,6,1,0,1,11,2,4,4,0,0,4,3,4,5,6,8,0,7,6,4,3,3,3,1,0,1,1,3,11,1,5,0,2,3,0,1,5,0,7,3,0,7,9,1,0,15,3,3,8,2,5,3,5,0,1,5,2,10,2,1,10,0,2,6,5,2,8,18,4,2,1,3,4,6,4,6,0,4,3,1,4,3,1,3,1,2,4,7,0,1,4,2,0,0,4,1,2,0,5,4,2,4,4,5,0,0,5,4,3,4,2,5,2,1,0,1,0,0,2,0,4,3,2,2,3,0,4,2,10,4,2,2,0,0,0,4,0,5,1,0,5,1,0,2,0,0,0,0,0,6
0,10,4,21,50,11,102,13,21,13,10,12,138,9,2,18,4,37,45,6,9,3,77,17,51,28,4,15,7,139,0,10,16,10,5,24,6,39,4,2,10,16,6,4,40,3,10,11,11,8,0,14,9,12,7,6,7,38,49,16,6,37,4,8,11,11,6,9,22,3,2,30,9,24,3,2,26,3,3,17,14,9,9,23,6,14,7,1,4,7,3,2,21,3,10,6,9,12,4,4,2,17,11,6,4,5,11,2,5,2,10,14,15,12,0,22,6,13,7,22,3,6,1,12,0,15,8,3,5,3,1,10,1,2,4,6,10,9,7,8,10,2,7,5,3,8,8,8,23,10,9,13,4,15,6,15,1,4,7,4,24,12,7,10,11,2,10,4,4,4,6,7,5,7,5,11,8,1,16,11,4,9,4,13,11,6,7,4,4,7,6,1,3,11,13,4,4,7,5,17,19,6,1,15,11,1,1,2,1,8,8,1,7,8,5,13,2,3,14,2,4,1,1,10,2,1,3,5,3,3,7,9,6,4,9,12,1,6,5,5,2,2,7,1,0,9,1,6
5,23,2,53,112,37,206,30,23,37,16,35,257,15,16,77,56,100,144,6,36,6,221,102,159,73,61,70,39,240,44,22,48,25,39,114,21,72,12,36,22,19,11,10,116,60,62,16,69,55,10,46,33,32,22,30,10,134,151,96,22,153,68,36,37,30,30,20,117,23,13,106,19,109,11,18,40,49,31,26,70,24,79,86,34,36,18,8,41,49,17,17,36,13,93,24,33,51,33,33,15,51,41,25,22,19,9,2,24,4,26,41,63,61,11,37,42,36,23,55,14,19,27,23,15,25,12,22,16,14,18,45,8,18,37,9,50,29,36,43,18,8,20,54,29,8,70,15,32,40,38,18,9,24,7,141,25,4,21,13,9,26,17,12,44,15,39,22,54,27,45,27,56,6,24,13,13,4,35,13,8,31,24,34,24,7,10,12,16,21,30,20,18,37,27,15,12,10,15,22,31,21,10,20,88,27,17,30,10,16,36,29,8,23,9,23,22,21,22,26,22,8,12,10,14,10,13,14,28,11,10,4,17,29,9,31,8,4,29,17,8,29,15,8,7,10,52,6
0,27,9,20,28,5,116,6,12,9,4,12,91,3,4,34,9,24,41,4,4,11,60,39,49,35,8,11,5,98,2,21,17,13,8,43,13,31,0,11,13,2,13,5,18,20,13,6,25,22,3,21,14,24,10,6,16,46,51,29,14,41,26,15,11,7,18,8,44,14,5,44,8,35,3,3,22,8,5,9,29,11,10,12,27,15,6,5,16,6,5,4,17,3,14,11,11,18,8,7,4,17,30,12,16,20,2,8,9,7,13,13,20,21,4,34,14,23,3,32,10,6,13,7,6,17,8,10,13,15,2,16,1,7,11,5,8,9,4,4,8,1,3,4,8,4,17,8,21,36,6,8,1,17,1,36,10,30,18,1,3,11,30,13,11,18,4,11,10,7,7,6,9,14,2,8,9,14,8,6,3,6,7,22,17,3,2,6,22,21,7,4,16,7,6,7,11,4,12,4,13,20,21,4,27,2,10,0,5,9,15,3,5,4,12,8,3,5,9,5,15,2,4,8,5,9,3,5,5,3,4,3,12,5,12,11,0,4,5,5,4,2,3,1,3,2,6,6
0,18,4,5,11,4,53,9,7,6,3,3,44,3,5,6,3,11,19,6,1,1,22,12,16,12,2,6,4,39,0,4,6,5,4,16,0,13,0,0,7,5,4,4,5,8,5,2,10,3,0,7,3,12,2,1,7,20,14,3,4,6,3,1,5,2,6,0,19,6,0,13,5,11,4,2,16,13,1,5,4,2,1,4,2,6,0,2,6,3,2,3,4,2,3,2,9,3,2,2,1,3,4,0,1,4,0,7,2,1,16,1,4,10,0,10,4,7,2,11,2,0,5,3,0,6,1,0,2,8,6,3,9,3,18,3,6,0,3,3,13,1,2,22,5,6,3,1,6,5,2,7,1,1,2,12,3,2,4,1,5,2,11,1,12,1,3,1,2,0,3,5,0,5,3,1,3,0,6,0,3,4,1,4,7,0,2,2,1,9,7,4,2,6,9,2,5,2,3,1,3,3,2,5,7,3,3,3,3,1,0,0,3,2,0,3,2,3,2,0,0,4,3,3,2,1,2,4,1,11,0,3,3,1,2,3,2,5,3,0,0,3,3,3,2,0,0,6
5,12,5,38,32,31,106,14,28,13,5,11,105,0,6,48,2,42,37,3,8,3,53,22,36,20,24,13,3,116,18,7,23,10,14,20,10,32,4,11,14,4,3,0,34,18,17,5,28,16,9,5,11,21,6,8,8,50,38,20,2,48,5,3,9,8,7,0,31,4,3,31,9,38,6,6,20,17,22,2,24,6,2,21,13,6,5,3,6,16,16,5,5,5,14,6,6,16,7,16,1,29,3,8,5,8,1,6,11,2,7,3,8,20,1,29,8,11,6,22,6,5,7,5,7,8,4,2,5,12,1,18,9,17,7,10,9,6,10,4,5,1,5,10,7,4,14,8,13,20,6,13,10,8,13,26,17,6,11,3,26,8,3,4,9,11,9,8,3,14,3,17,6,3,5,4,12,0,16,2,6,16,7,19,5,13,4,3,5,7,13,7,7,4,13,0,8,3,1,11,17,9,2,27,26,0,7,6,7,6,3,7,6,7,2,13,10,0,4,2,16,4,4,2,7,8,4,3,17,3,7,3,16,10,4,6,3,4,2,4,4,0,6,9,1,2,11,6
2,68,16,32,77,51,378,65,79,14,19,46,414,20,36,108,12,47,204,30,23,13,180,116,150,68,18,41,25,361,6,67,33,42,50,79,25,68,5,7,20,40,26,9,89,60,24,19,39,22,11,77,34,78,17,56,64,191,136,49,27,149,15,28,20,22,33,26,129,32,20,90,14,82,39,18,42,22,29,21,70,28,40,58,57,47,20,20,26,49,11,18,56,13,48,36,58,48,69,19,18,38,69,16,46,19,8,22,31,25,28,42,97,88,10,111,19,79,24,99,34,35,21,13,17,55,26,27,27,8,34,25,57,5,61,17,87,13,13,35,38,13,28,43,17,20,72,18,91,55,42,100,20,47,8,59,33,9,67,4,18,19,74,22,47,16,28,28,14,8,37,42,15,18,5,32,29,7,33,18,15,16,19,51,26,22,38,11,30,31,50,17,25,34,39,29,34,10,13,19,42,10,14,24,42,20,20,25,32,20,30,2,23,45,6,10,22,19,32,14,7,11,24,15,25,36,41,17,10,21,18,9,16,15,8,24,7,29,7,25,7,10,20,14,9,3,18,6
0,6,7,19,32,6,79,16,15,8,2,2,95,4,3,15,5,21,50,5,7,0,48,21,23,17,4,12,5,107,5,11,11,5,5,30,7,29,0,3,9,6,3,3,46,9,5,6,12,8,7,9,9,19,7,9,2,55,23,10,4,44,1,2,3,7,9,3,19,3,4,39,5,24,6,7,14,7,10,5,20,5,7,14,5,9,4,2,12,3,2,1,7,5,15,6,5,5,11,11,7,14,24,1,7,2,0,3,5,3,13,3,10,17,1,21,7,7,5,17,4,5,2,0,2,6,5,4,2,0,5,4,0,6,11,4,5,4,5,7,12,5,5,7,4,5,5,3,2,12,4,5,4,6,2,22,3,0,2,1,1,5,18,4,7,7,7,7,2,0,3,6,7,1,4,7,5,8,13,0,1,6,1,19,8,3,7,0,0,6,3,4,7,5,8,24,9,0,7,4,6,3,3,3,11,5,10,2,7,5,5,1,3,5,7,1,5,3,7,1,7,4,2,18,1,17,5,2,6,3,3,0,2,4,6,5,0,5,1,3,0,1,11,0,1,3,0,6
0,2,7,1,13,7,57,5,3,1,3,4,55,4,7,2,3,10,16,1,1,1,65,8,21,19,1,9,6,51,0,3,12,3,3,15,1,18,0,0,8,4,5,1,21,17,8,0,0,0,2,4,15,7,4,2,8,18,23,10,7,21,1,5,1,5,1,2,11,2,4,17,0,10,16,0,8,3,8,4,6,0,9,7,4,5,1,0,4,6,0,3,12,0,28,2,3,7,2,4,3,3,9,0,5,5,2,1,10,1,11,5,13,5,1,17,1,2,13,14,3,0,1,2,0,7,9,2,1,0,0,15,3,2,20,0,4,3,1,7,8,2,2,6,3,2,10,0,10,5,3,1,0,4,0,11,6,5,9,0,0,0,7,2,4,17,2,14,3,0,7,4,8,6,3,17,2,1,11,1,0,1,1,12,9,2,1,0,5,6,1,2,7,7,4,1,9,2,3,1,7,3,1,2,12,5,0,2,3,8,0,2,1,3,7,1,1,7,7,14,1,3,0,2,0,0,6,3,0,0,2,3,1,6,1,0,0,1,2,1,4,0,2,0,0,1,0,6
1,16,3,11,38,22,129,15,20,11,3,6,158,5,7,25,13,46,67,10,10,6,71,23,50,33,24,14,5,153,5,23,26,17,25,62,10,37,1,15,16,12,10,4,49,20,18,8,15,9,5,25,6,20,18,5,10,61,46,11,16,42,9,7,16,5,15,9,33,4,6,37,8,47,7,1,46,5,11,6,32,11,18,21,15,14,8,3,19,12,7,11,30,1,13,5,7,19,18,12,5,30,24,5,12,7,0,4,7,7,18,22,26,22,0,30,9,13,5,22,11,5,5,6,4,15,10,0,6,2,4,13,0,16,9,1,17,9,7,17,4,5,15,12,6,7,20,3,44,15,11,3,1,31,2,26,9,1,16,4,40,8,19,18,20,19,18,15,10,8,8,4,5,5,11,5,11,16,22,16,5,14,16,6,3,3,9,15,4,15,7,1,4,5,20,10,11,4,4,14,17,5,0,18,9,7,9,4,15,11,16,0,6,4,2,24,11,6,17,2,5,2,2,12,10,8,7,6,31,4,3,8,5,6,25,14,2,4,11,7,6,6,15,0,3,4,0,6
0,58,23,27,52,38,314,22,60,16,19,27,307,13,17,52,11,55,119,7,9,9,110,90,145,53,5,45,10,288,6,53,25,22,34,44,9,66,0,7,23,46,10,15,49,27,22,11,34,52,11,24,23,69,24,26,37,95,108,62,9,113,18,17,21,21,24,5,102,18,10,49,20,67,7,11,38,20,13,22,35,23,33,44,40,28,13,6,16,36,9,13,34,44,32,17,32,24,12,37,12,27,25,13,27,16,4,13,20,16,19,20,59,50,19,51,9,54,21,34,22,19,2,22,17,25,25,16,30,8,21,27,23,12,29,9,32,4,14,20,17,7,5,17,10,9,47,18,43,24,34,48,6,9,15,42,17,22,31,7,12,19,15,16,23,19,32,17,14,13,23,55,20,10,12,18,11,6,18,12,9,15,12,27,20,15,7,8,6,23,24,7,16,22,18,7,26,9,12,17,28,16,17,37,35,13,13,41,14,14,8,9,5,25,10,31,24,22,15,10,3,6,17,9,17,9,16,15,15,9,8,12,16,7,25,17,10,9,9,11,8,3,9,12,1,9,18,6
2,2,1,1,6,0,15,1,5,3,3,3,24,1,2,5,2,3,13,1,0,0,8,7,8,2,3,1,5,13,2,2,2,0,4,7,1,9,0,0,3,1,0,1,11,4,2,0,2,0,2,1,2,5,1,2,1,9,10,2,1,4,1,0,0,2,1,1,5,1,2,3,0,6,1,1,0,2,0,3,3,3,1,3,2,2,1,0,2,3,0,1,3,1,0,0,2,0,1,1,3,0,2,0,0,2,0,1,0,0,0,0,2,3,0,9,1,2,1,5,0,3,0,6,1,2,6,4,0,0,1,0,3,0,3,0,0,0,0,1,2,0,0,1,2,2,9,0,0,2,2,0,0,1,0,6,1,2,0,0,0,3,6,2,2,0,2,2,0,1,1,10,1,0,4,0,2,2,3,2,3,9,4,0,1,3,1,2,0,0,1,0,1,1,2,2,0,2,1,5,4,0,1,3,4,0,0,0,0,2,1,1,0,0,1,2,3,2,1,0,3,2,1,1,0,1,3,0,3,1,0,0,0,1,1,4,0,0,0,0,3,1,0,0,0,2,0,6
0,9,2,0,8,2,27,3,2,3,2,2,16,4,5,4,2,6,9,2,1,0,16,15,9,4,0,4,1,21,0,1,10,6,2,8,7,16,0,2,1,0,0,1,4,3,2,5,2,4,1,5,0,5,3,1,5,10,9,15,0,7,1,0,3,2,1,0,8,1,0,11,0,8,1,0,6,0,1,2,3,1,1,2,2,2,2,0,2,1,1,0,1,1,5,2,2,0,0,5,0,14,5,10,4,1,1,0,0,1,3,0,4,2,0,7,2,6,0,4,1,0,0,1,0,1,0,2,5,8,1,2,1,0,1,1,4,1,2,1,4,1,1,0,0,1,5,0,7,8,6,8,1,2,2,2,0,15,3,1,3,2,5,3,0,1,8,2,1,2,2,3,0,0,0,1,1,2,3,2,0,1,0,1,1,0,5,0,4,1,3,1,1,1,1,0,0,1,3,2,3,1,1,1,2,2,1,1,0,0,0,0,1,2,5,0,3,0,0,1,0,0,0,3,2,0,1,2,3,0,1,1,0,0,1,0,0,8,0,0,2,0,1,0,7,1,5,6
25,50,11,30,120,49,267,40,40,26,27,49,283,7,22,76,9,66,106,17,27,10,162,78,138,53,26,26,24,248,16,41,58,25,55,80,24,152,37,13,17,17,14,15,166,47,28,18,42,37,12,59,19,64,14,50,30,109,111,47,33,121,27,15,39,20,25,13,126,22,11,93,22,86,15,20,53,31,131,16,47,36,35,93,58,32,23,14,22,53,20,18,46,21,53,25,63,51,24,28,14,57,40,26,53,17,4,12,9,15,38,17,46,66,13,88,11,39,40,96,30,22,14,10,12,67,12,15,27,18,17,38,36,10,96,6,43,16,21,37,10,9,9,20,10,18,74,26,81,64,32,47,18,24,21,75,32,1,43,16,13,21,34,24,28,23,27,22,14,6,21,49,14,31,19,35,21,11,51,14,17,38,38,53,40,11,17,10,15,38,21,26,25,31,32,11,51,6,21,26,51,21,13,13,47,29,17,25,28,27,27,45,18,38,22,25,28,17,29,25,7,5,8,15,8,15,21,7,12,8,18,7,10,20,42,21,19,23,5,17,14,15,30,20,10,9,12,6
2,7,1,3,18,7,66,9,11,5,1,4,59,1,3,17,2,26,33,1,3,1,38,13,14,15,1,7,7,65,1,7,10,7,4,14,6,27,0,1,3,2,5,1,18,7,8,0,11,13,3,2,7,10,0,4,6,29,16,16,1,11,5,3,5,5,16,0,28,4,4,14,2,12,1,3,11,3,5,2,10,2,7,6,4,7,0,3,8,2,2,3,6,4,6,7,4,7,4,9,3,5,14,2,3,4,2,2,2,2,7,3,9,5,5,12,24,8,11,18,3,10,8,2,0,5,1,2,12,1,1,6,0,2,7,7,7,1,1,3,7,6,6,4,4,4,6,6,5,8,2,3,0,4,2,13,6,12,3,1,2,4,12,2,4,6,5,8,2,7,0,3,3,3,6,1,9,3,5,1,2,2,7,7,5,0,7,0,3,3,6,3,7,3,7,2,5,2,6,11,2,6,0,2,5,1,6,0,5,2,2,8,0,4,1,3,3,0,6,2,1,2,2,1,3,4,1,4,4,0,1,2,6,3,3,5,1,1,1,6,2,3,1,0,0,4,1,6
1,37,14,27,108,19,407,45,89,27,13,18,407,7,27,67,18,68,140,19,12,23,191,100,118,94,9,47,30,366,11,35,67,35,32,91,30,71,0,4,31,21,10,17,110,50,29,7,69,27,15,40,27,68,13,45,36,140,119,46,15,113,26,18,30,23,56,12,122,20,23,59,23,79,52,11,35,16,21,21,54,29,26,48,37,38,12,15,37,44,8,15,41,97,46,28,22,22,52,24,8,76,60,33,30,20,14,12,22,9,66,37,58,61,10,88,17,37,11,64,45,30,15,18,13,25,15,8,16,17,30,45,4,9,34,15,68,19,37,89,45,6,27,34,16,22,35,31,32,34,28,50,18,24,9,65,24,3,24,8,8,17,53,18,46,27,27,24,13,12,34,22,21,14,7,19,25,3,28,96,14,52,21,24,21,21,35,22,19,36,37,15,11,16,25,38,34,8,25,38,18,23,13,27,37,8,21,9,13,19,29,4,19,11,10,17,14,12,23,20,6,3,15,22,22,28,21,17,10,17,17,6,15,20,13,20,8,22,6,12,5,14,13,2,5,3,5,6
1,14,2,5,16,11,87,5,13,10,8,4,81,0,2,8,2,11,27,11,4,3,33,14,14,24,4,7,5,77,1,8,16,6,12,14,5,17,0,1,7,5,2,2,9,7,2,6,12,6,2,11,7,14,1,3,7,31,24,7,3,22,2,4,4,10,6,1,20,4,5,14,4,24,0,1,9,1,1,7,11,2,7,9,3,8,5,1,9,6,8,3,15,0,12,12,8,12,7,2,1,8,19,12,9,2,0,3,13,4,4,12,18,10,0,11,1,9,2,17,3,4,3,4,0,7,6,5,4,11,2,3,1,0,5,1,5,6,8,6,3,1,9,1,0,1,11,6,10,7,6,6,0,6,2,13,4,5,6,0,13,4,6,11,5,0,5,5,7,3,4,4,1,6,3,1,6,0,14,3,5,12,6,8,9,1,4,5,1,20,8,2,14,8,8,10,2,1,4,7,11,3,4,6,10,5,3,2,7,1,5,0,3,4,4,5,5,1,6,1,9,0,2,9,5,5,8,3,3,4,2,5,2,1,1,2,0,3,3,5,5,1,6,1,3,3,1,6
1,8,8,20,36,17,95,17,13,8,8,8,115,7,11,26,1,26,38,13,6,5,73,54,52,26,4,23,11,92,4,9,14,12,19,31,7,30,3,17,5,3,5,2,35,20,11,3,31,14,3,27,21,20,4,5,10,44,59,18,5,46,16,3,13,9,12,7,70,10,8,28,7,38,2,6,20,4,7,11,20,6,5,20,25,12,7,7,9,15,5,12,17,6,17,11,20,15,11,7,4,14,20,15,26,2,10,7,9,6,12,14,20,38,2,38,8,9,9,26,10,8,8,9,3,5,12,3,13,11,6,10,4,4,14,7,11,13,10,9,14,12,4,5,9,5,26,8,22,13,14,34,10,9,3,26,15,3,6,3,5,13,27,8,17,20,8,7,10,9,10,9,9,6,1,3,7,6,8,6,7,12,11,28,15,1,40,4,2,18,13,7,17,10,13,7,16,2,13,7,12,6,9,14,20,6,6,5,8,6,15,1,9,14,1,8,15,7,8,8,4,3,1,7,8,4,3,8,12,8,10,5,3,7,8,17,1,45,9,4,4,6,5,4,11,1,3,6
