"he "," th"," of","ed "," an","the","of ","and"," in","qualityClass"
66,100,31,41,27,74,32,25,24,6
19,28,22,14,5,20,21,17,6,6
82,93,34,88,32,68,30,30,30,6
185,222,100,126,69,192,81,102,83,6
107,104,41,82,38,108,50,30,30,6
153,153,47,74,65,154,42,75,45,6
54,61,29,41,14,41,15,17,17,6
12,26,18,7,9,21,17,10,11,6
11,23,20,6,8,12,18,9,4,6
291,344,128,165,134,296,105,118,105,6
98,124,47,55,49,98,40,48,42,6
23,22,8,11,9,25,15,10,3,6
63,87,42,28,27,78,48,15,29,6
59,68,27,24,10,78,32,20,42,6
161,161,60,77,50,124,48,60,43,6
99,84,41,24,33,77,33,30,22,6
119,102,24,47,43,95,24,38,59,6
70,49,36,19,27,38,25,28,28,6
74,68,27,32,23,74,26,27,22,6
103,111,50,56,51,130,38,52,40,6
93,101,46,50,56,80,26,42,31,6
99,108,47,91,45,103,44,68,69,6
175,229,88,120,72,174,97,78,75,6
39,50,24,37,16,45,17,18,16,6
61,70,25,38,28,58,21,23,30,6
56,59,45,23,34,48,34,35,29,6
142,180,74,49,63,184,75,95,54,6
88,99,48,41,26,89,41,37,24,6
59,36,20,18,24,41,19,11,12,6
143,153,69,73,33,148,55,56,42,6
36,38,34,35,40,36,40,31,49,6
164,190,68,128,102,163,59,97,70,6
162,159,61,113,66,159,78,62,69,6
45,28,14,27,11,34,16,13,9,6
152,160,78,115,75,144,56,48,73,6
35,35,23,11,11,31,17,4,4,6
23,23,8,17,4,16,9,2,7,6
128,147,62,61,44,124,50,64,57,6
148,140,69,45,80,136,60,60,54,6
96,92,42,49,40,104,32,28,31,6
15,20,10,19,9,13,12,4,8,6
42,44,34,16,25,38,32,15,15,6
52,57,18,16,13,51,13,21,25,5
196,230,117,123,102,195,106,127,71,5
56,64,18,14,12,46,16,10,9,5
261,237,73,124,110,205,69,104,95,5
24,22,13,24,11,29,10,10,20,5
85,90,22,38,18,75,33,27,23,5
190,185,88,123,100,213,76,82,87,5
133,120,69,98,46,159,78,61,61,5
82,116,59,53,36,112,53,37,54,5
33,39,21,27,15,37,18,19,23,5
42,42,12,14,22,37,18,29,13,5
51,61,32,24,21,55,27,24,23,5
44,55,17,33,22,49,16,24,15,5
14,40,10,23,11,30,11,17,20,5
57,46,14,36,35,41,20,21,29,5
35,35,15,17,14,34,17,15,9,5
77,90,62,45,48,78,65,46,52,5
124,118,84,39,69,113,67,102,35,5
34,50,9,28,14,25,8,14,19,5
166,164,77,57,96,167,86,71,76,5
75,69,27,41,29,52,27,20,28,5
46,47,20,27,17,44,16,26,16,5
43,44,22,22,16,45,23,14,15,5
293,376,116,179,162,322,122,149,109,5
68,76,39,89,40,102,44,44,33,5
127,169,77,95,73,143,56,97,88,5
83,89,28,45,34,77,30,46,38,5
125,129,63,58,56,122,64,68,52,5
201,211,78,127,100,211,84,161,74,5
68,80,32,50,37,75,31,33,44,5
175,206,59,57,83,194,82,76,67,5
32,40,19,19,11,41,17,25,13,5
56,69,37,44,17,65,30,21,33,5
80,106,39,51,31,80,34,36,17,5
54,81,33,24,34,59,46,19,24,5
9,5,5,2,6,7,3,5,2,5
96,144,72,83,64,96,63,58,74,5
106,107,37,52,47,77,30,40,43,5
131,148,60,45,54,139,67,44,62,5
80,87,42,48,43,99,57,51,43,5
